id,name,party,partyLabel,votes
Q27942399,Sarah Olney,Q9624,Liberal Democrats (UK),20510
Q391562,Zac Goldsmith,Q327591,Independent politician,18638
Q5110287,Christian Wolmar,Q9630,Labour Party (UK),1515
Q5922334,Howling Laud Hope,Q1421227,Official Monster Raving Loony Party,184
,Fiona Syms,Q327591,Independent politician,173
,Dominic Stockford,Q5110023,Christian Peoples Alliance,164
,Maharaja Jammu and Kashmir,Q24035667,One Love Party,67
,David Powell,,,32
